MachineCode; ColorMixingTime    ; BatchNumber      ; BucketQuantity; BucketNo; BasePaintCode; BasePaintName; ProductCode                    ; ProductName                    ; ColorCardCode                   ; ColorCardName; SeriesCode             ; SeriesName             ; CustomerName; Address; City    ; PhoneNo; Email; Zipcode; RGB     ; BasePaintUsedAmount; FillingVolume; UnitName; OriginalType; PaintType       ; FormulaDiscount; FormulaCreateDate  ; Remark                                               ; Barcode; Result; ResultMessage                                                                                                     ; Band; ColorantsCode1; ColorantsName1; RGB1    ; UsedAmount1; FinalUsedAmount1; ColorantsCode2; ColorantsName2; RGB2    ; UsedAmount2; FinalUsedAmount2; ColorantsCode3; ColorantsName3; RGB3    ; UsedAmount3; FinalUsedAmount3; ColorantsCode4; ColorantsName4; RGB4    ; UsedAmount4; FinalUsedAmount4; ColorantsCode5; ColorantsName5; RGB5; UsedAmount5; FinalUsedAmount5; ColorantsCode6; ColorantsName6; RGB6; UsedAmount6; FinalUsedAmount6; ColorantsCode7; ColorantsName7; RGB7; UsedAmount7; FinalUsedAmount7; ShopNumber; ShopName; ShopPhone; ShopContact; ShopPerson; ShopPersonMobile; ShopMachine
A3-HS      ; 05/04/2026 10:54:12; 20260504105412105;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; ANDIROBA-SUV                    ; C373         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 11845320;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; -1    ; Abort : Abort Job                                                                                                 ;     ; JO            ; JO            ;    39372;      65.785;            0    ; RH            ; RH            ;     9366;      18.677;            0    ; NO            ; NO            ;        0;      81.219;            0    ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/04/2026 10:21:57; 20260504102157085;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; CROMIO-SUV                      ; B161         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 13226194;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      29.854;           29.854; RH            ; RH            ;     9366;       2.083;            2.083; NO            ; NO            ;        0;      49.641;           49.641;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/04/2026 10:13:58; 20260504101358204;              1;        1; B            ; B            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; COLEIRINHO-SUV                  ; D388         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  8620679;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; BA            ; BA            ; 16777215;     420.032;          420.032; JO            ; JO            ;    39372;     217.326;          217.326; NO            ; NO            ;        0;     562.26 ;          562.26 ; VR            ; VR            ;    26112;       9.354;            9.354;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/04/2026 08:36:16; 20260504083616021;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; CADEIRA DE BAMBU-SUV            ; S100         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  8890043;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;     614.864;          614.864; RH            ; RH            ;     9366;      26.573;           26.573; NO            ; NO            ;        0;     166.162;          166.162;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/04/2026 08:28:34; 20260504082834013;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; CIMENT VJ 73-0201               ; VJ 73-0201   ; MAESTRIA Phenix        ; MAESTRIA Phenix        ;             ;        ;         ;        ;      ;        ; 11514800;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      67.226;           67.226; NO            ; NO            ;        0;     203.82 ;          203.82 ;               ;               ;         ;            ;                 ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/04/2026 08:21:01; 20260504082101772;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; CIMENT VJ 73-0201               ; VJ 73-0201   ; MAESTRIA Phenix        ; MAESTRIA Phenix        ;             ;        ;         ;        ;      ;        ; 11514800;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      67.226;           67.226; NO            ; NO            ;        0;     203.82 ;          203.82 ;               ;               ;         ;            ;                 ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/04/2026 08:18:32; 20260504081832799;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; CIMENT VJ 73-0201               ; VJ 73-0201   ; MAESTRIA Phenix        ; MAESTRIA Phenix        ;             ;        ;         ;        ;      ;        ; 11514800;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      67.226;           67.226; NO            ; NO            ;        0;     203.82 ;          203.82 ;               ;               ;         ;            ;                 ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/02/2026 12:05:18; 20260502120518785;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; PRIMULA ROSA-SUV                ; D227         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 12821731;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; NO            ; NO            ;        0;       0.623;            0.623; RP            ; RP            ;      255;      11.806;           11.806; MA            ; MA            ;  1513356;      29.151;           29.151;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/02/2026 10:21:08; 20260502102108625;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; ELEFANTE-SUV                    ; D161 N1066   ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  9542047;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      36.103;           36.103; RH            ; RH            ;     9366;       1.041;            1.041; NO            ; NO            ;        0;      82.619;           82.619;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 05/02/2026 10:16:16; 20260502101616864;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; LEITE EM PO-SUV                 ; C525         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 14936814;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;       3.886;            3.886; RH            ; RH            ;     9366;       0.887;            0.887; NO            ; NO            ;        0;       2.947;            2.947;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
